acteurs,description,duree,genre,langue_origine,pays,public,score,titre,titre_original,year
"Jon Hamm,Elisabeth Moss,Vincent Kartheiser,January Jones,Christina Hendricks,Aaron Staton,Rich Sommer,John Slattery,Kiernan Shipka,Robert Morse,Christopher Stanley,Jessica Paré,Jay R. Ferguson,Michael Gladis,Bryan Batt,Alison Brie,Jared Harris,Kevin Rahm","A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.",0,Drama,English,United States,TV-MA,8.7,Mad Men,Mad Men,2007
"Patrick Stewart,Brent Spiner,Jonathan Frakes,LeVar Burton,Marina Sirtis,Michael Dorn,Gates McFadden,Majel Barrett,Wil Wheaton,Colm Meaney,James G. Becker,Denise Crosby,Whoopi Goldberg,Diana Muldaur,Patti Yasutake,Dennis Madalone,Michelle Forbes,Rosalind Chao","Set almost 100 years after Captain Kirk's 5-year mission, a new generation of Starfleet officers sets off in the U.S.S. Enterprise-D on its own mission to go where no one has gone before.",44,"Action,Adventure,Drama",English,United States,TV-PG,8.7,Star Trek: The Next Generation,Star Trek: The Next Generation,1987
"Makoto Furukawa,Kaito Ishikawa,Max Mittelman,Zach Aguilar,Hiromichi Tezuka,Robbie Daymond,Kyle Hebert,Shôta Yamamoto,Yôji Ueda,Sean Chiplock,Yoshiaki Hasegawa,Kirk Thornton,Shin'ya Hamazoe,Bill Rogers,Lin Hu,Hikaru Midorikawa,Ben Lepley,Ben Pronsky","The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.",24,"Animation,Action,Comedy",Japanese,Japan,TV-PG,8.7,One Punch Man,One Punch Man,2015
"Hugh Laurie,Omar Epps,Robert Sean Leonard,Jesse Spencer,Lisa Edelstein,Bobbin Bergstrom,Jennifer Morrison,Peter Jacobson,Olivia Wilde,Kal Penn,Charlyne Yi,Odette Annable,Anne Dudek,Jennifer Crystal Foley,Amber Tamblyn,Liz Benoit,Stephanie Venditto,Sela Ward","Using a crack team of doctors and his wits, an antisocial maverick doctor specializing in diagnostic medicine does whatever it takes to solve puzzling cases that come his way.",0,"Drama,Mystery",English,United States,TV-14,8.7,House,House,2004
"Millie Bobby Brown,Finn Wolfhard,Winona Ryder,David Harbour,Gaten Matarazzo,Caleb McLaughlin,Natalia Dyer,Charlie Heaton,Joe Keery,Noah Schnapp,Cara Buono,Sadie Sink,Priah Ferguson,Maya Hawke,Brett Gelman,Paul Reiser,Joe Chrest,Dacre Montgomery","When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces and one strange little girl.",51,"Drama,Fantasy,Horror",Russian,United States,TV-14,8.7,Stranger Things,Stranger Things,2016
"Adam Scott,Zach Cherry,Britt Lower,Tramell Tillman,Jen Tullock,Dichen Lachman,Michael Chernus,John Turturro,Christopher Walken,Patricia Arquette,Ólafur Darri Ólafsson,Merritt Wever,Gwendoline Christie,Alia Shawkat,John Noble,Robby Benson,Bob Balaban,Stefano Carannante","Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.",55,"Drama,Mystery,Sci-Fi",English,United States,TV-MA,8.7,Severance,Severance,2022
"Marc Diraison,Nobutoshi Canna,Carrie Keranen,Kevin T. Collins,Unshô Ishizuka,Carla Tassara,Jon Avner,Yûko Miyamura,Akira Ishida,Tomohiro Nishimura,Toshiyuki Morikawa,Christopher Kromer,Akiko Yajima,Marc Sebastian,Masuo Amada,Jeff Ward,Michelle Newman,Eiji Sekiguchi","Guts, a wandering mercenary, joins the Band of the Hawk after being defeated in a duel by Griffith, the group's leader and founder. Together, they dominate every battle, but something menacing lurks in the shadows.",23,"Animation,Action,Adventure",Japanese,Japan,TV-MA,8.7,Berserk,Berserk,1997
"Michael Chiklis,Catherine Dent,Walton Goggins,Michael Jace,Jay Karnes,Benito Martinez,CCH Pounder,Cathy Cahlin Ryan,David Rees Snell,Kenny Johnson,David Marciano,Autumn Chiklis,Paula Garcés,Michele Hicks,Melanie Myers,Joel Rosenthal,Matt Corboy,Chaney Kley",Drama series following the lives and cases of dirty cop Vic Mackey and the corrupt LAPD unit under his command.,47,"Crime,Drama,Thriller",English,United States,TV-MA,8.7,The Shield,The Shield,2002
"Jason Bateman,Michael Cera,Portia de Rossi,Will Arnett,Alia Shawkat,Tony Hale,David Cross,Jeffrey Tambor,Jessica Walter,Ron Howard,Henry Winkler,John Beard,Liza Minnelli,Mae Whitman,Justin Grant Wade,Ed Begley Jr.,Isla Fisher,Maria Bamford","Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.",22,Comedy,English,United States,TV-14,8.7,Arrested Development,Arrested Development,2003
"Phoebe Waller-Bridge,Sian Clifford,Olivia Colman,Jenny Rainsford,Bill Paterson,Brett Gelman,Andrew Scott,Hugh Skinner,Ben Aldridge,Hugh Dennis,Jamie Demetriou,Kae Alexander,Anthony Welsh,Ray Fearon,Christian Hillborg,David Hargreaves,Angus Imrie,Christopher Colquhoun",Series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.,0,"Comedy,Drama",English,United Kingdom,TV-MA,8.7,Fleabag,Fleabag,2016
"Hugh Bonneville,Phyllis Logan,Elizabeth McGovern,Brendan Coyle,Laura Carmichael,Jim Carter,Michelle Dockery,Joanne Froggatt,Robert James-Collier,Sophie McShera,Lesley Nicol,Maggie Smith,Penelope Wilton,Kevin Doyle,Allen Leech,David Robb,Siobhan Finneran,Dan Stevens",A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,0,"Drama,Romance",English,United Kingdom,TV-PG,8.7,Downton Abbey,Downton Abbey,2010
"Louis Hofmann,Karoline Eichhorn,Lisa Vicari,Maja Schöne,Jördis Triebel,Andreas Pietschmann,Stephan Kampwirth,Paul Lux,Oliver Masucci,Moritz Jahn,Peter Benedict,Gina Stiebitz,Deborah Kaufmann,Daan Lennard Liebrenz,Julika Jenkins,Carlotta von Falkenhayn,Dietrich Hollinderbäumer,Mark Waschke","A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families.",0,"Crime,Drama,Mystery",German,Germany,TV-MA,8.7,Dark,Dark,2017
"Karl Urban,Jack Quaid,Antony Starr,Erin Moriarty,Jessie T. Usher,Laz Alonso,Chace Crawford,Tomer Capone,Karen Fukuhara,Nathan Mitchell,Colby Minifie,Dominique McElligott,Claudia Doumit,Cameron Crovetti,Nneka Elliott,Laila Robins,Aya Cash,Katy Breier",A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,60,"Action,Comedy,Crime",English,United States,TV-MA,8.7,The Boys,The Boys,2019
"Masakazu Morita,Johnny Yong Bosch,Takayuki Sugô,Richard Epcar,Ryûsei Nakao,Terrence Stone,Yûichirô Umehara,Robbie Daymond,Stephanie Sheh,Doug Erholtz,Akio Ôtsuka,Shin'ichirô Miki,Neil Kaplan,Steve Kramer,Noriaki Sugiyama,Kentarô Itô,Keijin Okuda,Aleks Le","The peace is suddenly broken when warning sirens blare through the Soul Society. Residents are disappearing without a trace and nobody knows who's behind it. Meanwhile, a darkness is approaching Ichigo and his friends in Karakura Town.",24,"Animation,Action,Adventure",Japanese,Japan,TV-MA,9.0,Bleach: Thousand-Year Blood War,Bleach: Thousand-Year Blood War,2022
"Maya Erskine,George Takei,Masi Oka,Brenda Song,Darren Barnet,Randall Park,Kenneth Branagh,Cary-Hiroyuki Tagawa,Gedde Watanabe,Patrick Gallagher,Eric Bauza,Clyde Kusatsu,Ming-Na Wen,Keone Young,Marcus Choi,Ann Harada,Orli Mariko Green,Judah Green","Driven by a dream of revenge against those who made her an outcast in Edo-period Japan, a young warrior cuts a bloody path toward her destiny.",0,"Animation,Action,Adventure",English,United States,TV-MA,8.8,Blue Eye Samurai,Blue Eye Samurai,2023
"Mamoru Miyano,Asami Imai,Kana Hanazawa,Ashly Burch,J. Michael Tatum,Trina Nishimura,Tomokazu Seki,Tyson Rinehart,Cherami Leigh,Yukari Tamura,Saori Gotô,Yû Kobayashi,Masaki Terasoma,Jessica Cavanagh,Christopher Sabat,Lindsay Seidel,Haruko Momoi,Ayano Yamamoto","After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.",24,"Animation,Comedy,Drama",Japanese,Japan,TV-14,8.8,Steins;Gate,Steins;Gate,2011
"Edward James Olmos,Mary McDonnell,Jamie Bamber,James Callis,Tricia Helfer,Grace Park,Katee Sackhoff,Michael Hogan,Aaron Douglas,Tahmoh Penikett,Alessandro Juliani,Kandyse McClure,Bodie Olmos,Donnelly Rhodes,Michael Trucco,Nicki Clyne,Leah Cairns,Rekha Sharma","When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth.",44,"Action,Adventure,Drama",English,United States,TV-14,8.7,Battlestar Galactica,Battlestar Galactica,2004
"Ernie Hudson,J.K. Simmons,Lee Tergesen,Dean Winters,George Morfogen,Terry Kinney,Rita Moreno,Harold Perrineau,Eamonn Walker,Craig muMs Grant,Luna Lauren Velez,Granville Adams,Tom Mardirosian,Kirk Acevedo,BD Wong,Chuck Zito,Philip Scozzarella,Scott William Winters",A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.,55,"Crime,Drama,Thriller",English,United States,TV-MA,8.7,Oz,Oz,1997
"Jitendra Kumar,Raghubir Yadav,Neena Gupta,Chandan Roy,Faisal Malik,Sanvikaa,Durgesh Kumar,Biswapati Sarkar,Govind Lobhani,Mubarak Khan,Kamal Rai,Bal Mukund Rai,Salim Ansari,Mohd. Shakir,Dinesh Tiwaru,Kailash Karoshiya,Subhendu Chakraborty,Sushil Tandon","A comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a Panchayat office in a remote village of Uttar Pradesh.",0,"Comedy,Drama",Hindi,India,TV-14,8.9,Panchayat,Panchayat,2020
"Kevin McKidd,Ray Stevenson,Polly Walker,Kerry Condon,James Purefoy,Ian McNeice,Coral Amiga,Lindsay Duncan,Lidia Biondi,Tobias Menzies,Nicholas Woodeson,David Bamber,Chiara Mastalli,Manfredi Aliquo,Indira Varma,Suzanne Bertish,Max Pirkis,Lee Boardman",A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,0,"Action,Drama,Romance",English,United Kingdom,TV-MA,8.7,Rome,Rome,2005
"Cillian Murphy,Paul Anderson,Sophie Rundle,Helen McCrory,Ned Dennehy,Finn Cole,Natasha O'Keeffe,Ian Peck,Harry Kirton,Packy Lee,Joe Cole,Annabelle Wallis,Kate Phillips,Aimee-Ffion Edwards,Tony Pitts,Benjamin Zephaniah,Tom Hardy,Jordan Bolger","A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",0,"Crime,Drama",English,United Kingdom,TV-MA,8.8,Peaky Blinders,Peaky Blinders,2013
"Dan Castellaneta,Nancy Cartwright,Harry Shearer,Julie Kavner,Yeardley Smith,Hank Azaria,Pamela Hayden,Tress MacNeille,Chris Edgerly,Maggie Roswell,Karl Wiedergott,Russi Taylor,Marcia Wallace,Kevin Michael Richardson,Phil Hartman,Alex Désert,Joe Mantegna,Grey Griffin",The satiric adventures of a working-class family in the misfit city of Springfield.,22,"Animation,Comedy",English,United States,TV-14,8.7,The Simpsons,The Simpsons,1989
"Peter Krause,Michael C. Hall,Frances Conroy,Lauren Ambrose,Freddy Rodríguez,Mathew St. Patrick,Rachel Griffiths,Justina Machado,Jeremy Sisto,Brenna Tosh,Bronwyn Tosh,James Cromwell,Lili Taylor,Ben Foster,Joanna Cassidy,Richard Jenkins,Giancarlo Rodriguez,Ed O'Ross",A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.,60,"Comedy,Drama",English,United States,TV-MA,8.7,Six Feet Under,Six Feet Under,2001
"Jameel Khan,Geetanjali Kulkarni,Vaibhav Raj Gupta,Harsh Mayar,Shivankit Singh Parihar,Sunita Rajwar,Saad Bilgrami,Deepak Kumar Mishra,Sachin Chaudhary,Bilal Khan,Gaurav Sarathe,Abhishake Jha,Amar Singh Parihar,Ashwini,Stuti Tiwari,Vishwanath Chatterjee,Moazzam Ahmed,Kirti Sinha","Set in quaint by-lanes in the heart of India, Gullak is a collection of disarming and relatable tales of the Mishra family.",24,"Comedy,Drama,Family",Hindi,India,,9.1,Gullak,Gullak,2019
"Yûto Uemura,Mike Haimoto,Shinya Takahashi,Alejandro Saab,Hiroki Gotô,Aleks Le,Kaiji Tang,Michael C. Pizzuto,Tsuguo Mogami,Kira Buckland,Frank Todaro,Tony Oliver,Kenshô Ono,Jamieson Price,Kirk Thornton,Kyle Hebert,Naoya Uchida,Keith Silverstein","Following a tragedy, Thorfinn embarks on a journey with the man responsible for it to take his life in a duel as a true and honorable warrior to pay homage.",24,"Animation,Action,Adventure",Japanese,Japan,TV-MA,8.8,Vinland Saga,Vinland Saga,2019
"Pedro Pascal,Bella Ramsey,Anna Torv,Gabriel Luna,Lamar Johnson,Melanie Lynskey,Nico Parker,Merle Dandridge,Keivonn Woodard,Jeffrey Pierce,John Getz,Samuel Hoeksema,Olivier Ross-Parent,Rutina Wesley,Storm Reid,Scott Shepherd,Ashley Johnson,Nick Offerman","After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope.",50,"Action,Adventure,Drama",English,Canada,TV-MA,8.7,The Last of Us,The Last of Us,2023
"Mayur More,Jitendra Kumar,Ranjan Raj,Alam Khan,Revathi Pillai,Urvi Singh,Harish Peddinti,Ahsaas Channa,Sameer Saxena,Vaibhav Thakkar,Arun Kumar,Abhishake Jha,Sachin Vidrohi,Op Jangid,Jyoti Gauba,Rajesh Kumar,Abhaya Sharma,Jaiti Khera","Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day IIT-JEE aspirants face in their day-to-day lives.",0,"Comedy,Drama",Hindi,India,TV-14,9.0,Kota Factory,Kota Factory,2019
"Trey Parker,Matt Stone,Isaac Hayes,Mona Marshall,April Stewart,Adrien Beard,Eliza Schneider,Jennifer Howell,Jessica Makinson,Mary Kay Bergman,Betty Boogie Parker,Omaira Coromoto Rivero,Vernon Chatman,Kyle McCulloch,John 'Nancy' Hansen,Elisa Gabrielli,Kimberly Brooks,Jonathan Kimmel","Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",22,"Animation,Comedy",English,United States,TV-MA,8.7,South Park,South Park,1997
"Jason Sudeikis,Hannah Waddingham,Jeremy Swift,Phil Dunster,Brett Goldstein,Brendan Hunt,Nick Mohammed,Toheeb Jimoh,Juno Temple,Kola Bokinni,Billy Harris,Stephen Manas,Cristo Fernández,Moe Jeudy-Lamour,Annette Badland,Moe Hashim,David Elsendoorn,Adam Colborne","American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team.",0,"Comedy,Drama,Sport",English,United States,TV-MA,8.8,Ted Lasso,Ted Lasso,2020
"Elijah Wood,Collin Dean,Melanie Lynskey,Christopher Lloyd,Samuel Ramey,Jack Jones,John Cleese,Emily Brundige,Shirley Jones,Fred Stoller,Cole Sanchez,Sam Marin,Chris Isaak,Janet Klein,Tim Curry,Bebe Neuwirth,Noureen DeWulf,Deborah Voigt",Two brothers find themselves lost in a mysterious land and try to find their way home.,11,"Animation,Short,Adventure",English,United States,TV-PG,8.8,Over the Garden Wall,Over the Garden Wall,2014
"Wunmi Mosaku,Monica Dolan,Daniel Lapaine,Hannah John-Kamen,Michaela Coel,Aaron Paul,Anjana Vasan,Kenneth Collard,Joshua James,Beatrice Robertson-Jones,Charles Babalola,Toby Kebbell,Daniel Kaluuya,Rory Kinnear,Hayley Atwell,Lenora Crichlow,Daniel Rigby,Jon Hamm","Featuring stand-alone dramas -- sharp, suspenseful, satirical tales that explore techno-paranoia -- ""Black Mirror"" is a contemporary reworking of ""The Twilight Zone"" with stories that tap into the collective unease about the modern world.",60,"Drama,Mystery,Sci-Fi",English,United Kingdom,TV-MA,8.7,Black Mirror,Black Mirror,2011
"Lee Hyeri,Go Kyung-pyo,Ryu Jun-Yeol,Park Bo-gum,Lee Dong-hwi,Hye-young Ryu,Sung Dong-il,Lee Il-hwa,Kim Seong-gyoon,Ra Mi-ran,Kim Sun-young,Ahn Jae-hong,Choi Moo-seong,Choi Sung-won,Yoo Jae-myung,Lee Mi-yeon,Kim Ju-hyuk,Jeon Mi-seon","Five childhood friends, who all live in the same Ssangmundong neighborhood of Seoul in 1988, lean on each other to survive their challenging teen years and set a path for their futures.",90,"Comedy,Drama,Family",Korean,South Korea,,9.1,Reply 1988,Reply 1988,2015
"Derek Jacobi,John Hurt,Siân Phillips,Brian Blessed,George Baker,Margaret Tyzack,James Faulkner,Patricia Quinn,Patrick Stewart,Fiona Walker,Kevin McNally,Bernard Hepton,Sheila White,John Cater,Frances White,David Robb,Freda Dowie,Roger Bizley","The personal and governmental affairs of the Julio-Claudian dynasty at the beginning of the Roman Empire, as recalled by one of its rulers.",669,"Biography,Drama,History",English,United Kingdom,Not Rated,8.8,"I, Claudius","I, Claudius",1976
"Jôji Yanami,Kyle Hebert,Masako Nozawa,Sean Schemmel,Christopher Sabat,Mayumi Tanaka,Sonny Strait,Stephanie Nadolny,Toshio Furukawa,Ryô Horikawa,Hiromi Tsuru,Tiffany Vollmer,Mike McFarland,Cynthia Cranz,Hirotaka Suzuoki,Daisuke Gôri,Takeshi Kusao,Tôru Furuya","The adventures of Earth's martial arts defender, Son Goku, continue with a new family and the revelation of his alien origins. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies.",24,"Animation,Action,Adventure",Japanese,Japan,TV-PG,8.8,Dragon Ball Z,Dragon Ball Z,1989
"Pedro Pascal,Wagner Moura,Boyd Holbrook,Alberto Ammann,Paulina Gaitan,Juan Murcia,Jorge Monterrosa,Damián Alcázar,Francisco Denis,Raúl Méndez,Juan Sebastián Calero,Paulina García,Diego Cataño,Brett Cullen,Julián Díaz,Joanna Christie,Maurice Compte,María José Sanchez Real","A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.",49,"Biography,Crime,Drama",English,United States,TV-MA,8.8,Narcos,Narcos,2015
"Doc Harris,Christopher Sabat,Scott McNeil,Sean Schemmel,Terry Klassen,Brian Drummond,Sonny Strait,Stephanie Nadolny,Don Brown,Tiffany Vollmer,Dale Kelly,Cathy Weseluck,Kyle Hebert,Michael Dobson,Kirby Morrow,Jillian Michaels,Ted Cole,Cynthia Cranz","With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies.",24,"Animation,Action,Adventure",Japanese,Japan,TV-PG,8.8,Dragon Ball Z,Dragon Ball Z,1989
"Rowan Atkinson,Tony Robinson,Stephen Fry,Hugh Laurie,Tim McInnerny,Gabrielle Glaister,Miranda Richardson,Rik Mayall,Geoffrey Palmer,Jeremy Hardy,Adrian Edmondson,Stephen Frost,Bill Wallis,Hugo Blick,Lee Cornes,Paul Mark Elliott,Jeremy Gittins,Russell Brook","Stuck in the middle of World War I, Captain Edmund Blackadder does his best to escape the banality of the war.",175,"Comedy,War",English,United Kingdom,TV-PG,8.8,Blackadder Goes Forth,Blackadder Goes Forth,1989
"Dave Chappelle,Donnell Rawlings,Rudy Rush,Charlie Murphy,Neal Brennan,Yasiin Bey,Randy Pearlstein,Melle Powers,Greer Barnes,Blaire Reinhard,Yoshio Mita,Paul Mooney,Guillermo Diaz,William Bogert,Sophina Brown,Questlove,Bryan Olsen,Bill Burr",Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.,22,"Comedy,Music",English,United States,TV-MA,8.8,Chappelle's Show,Chappelle's Show,2003
"Kyle MacLachlan,Michael Ontkean,Mädchen Amick,Dana Ashbrook,Richard Beymer,Lara Flynn Boyle,Sherilyn Fenn,Warren Frost,Peggy Lipton,James Marshall,Everett McGill,Jack Nance,Joan Chen,Kimmy Robertson,Michael Horse,Piper Laurie,Harry Goaz,Eric DaRe",An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,0,"Crime,Drama,Mystery",English,United States,TV-MA,8.8,Twin Peaks,Twin Peaks,1990
"Linda Cardellini,John Francis Daley,James Franco,Samm Levine,Seth Rogen,Jason Segel,Martin Starr,Becky Ann Baker,Joe Flaherty,Busy Philipps,Jerome Elston Scott,Steve Bannos,Dave Allen,Sarah Hagan,Jerry Messing,Natasha Melnick,Stephen Lea Sheppard,Chauncey Leopardi",A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.,0,"Comedy,Drama",English,United States,TV-14,8.8,Freaks and Geeks,Freaks and Geeks,1999
"Colin Firth,Jennifer Ehle,Susannah Harker,Julia Sawalha,Alison Steadman,Benjamin Whitrow,Crispin Bonham-Carter,Polly Maberly,Lucy Briers,Anna Chancellor,Lucy Robinson,Adrian Lukis,David Bamber,Lucy Scott,Lucy Davis,Emilia Fox,Marlene Sidaway,Barbara Leigh-Hunt","While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy, willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy.",327,"Drama,Romance",English,United Kingdom,TV-PG,8.8,Pride and Prejudice,Pride and Prejudice,1995
"Ali Atay,Serkan Keskin,Osman Sonant,Ahmet Mümtaz Taylan,Cengiz Bozkurt,Köksal Engür,Ege Tanman,Nalan Kuruçim,Engin Günay,Neslihan Aker,Istar Gökseven,Sebahat Adalar,Güliz Gençoglu,Sarp Aydinoglu,Mustafa Asik,Mehmet Usta,Onursal Yildirim,Ipek Türktan","It is an unique and heartwarming show follows the extraordinary journey of a couple named Leyla and Mecnun. With Ali Atay portraying Mecnun and Ezgi Asaroglu as Leyla, the series has garnered a massive fan base and critical acclaim.",80,"Adventure,Comedy,Drama",Turkish,Turkey,TV-PG,9.1,Leyla and Mecnun,Leyla and Mecnun,2011
"Will Arnett,Amy Sedaris,Alison Brie,Aaron Paul,Paul F. Tompkins,Adam Conover,Keith Olbermann,Diedrich Bader,Kristen Schaal,Patton Oswalt,Raphael Bob-Waksberg,Aparna Nancherla,J.K. Simmons,Stanley Tucci,Wendie Malick,Angela Bassett,Rami Malek,Stephanie Beatriz","BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",0,"Animation,Comedy,Drama",English,United States,TV-MA,8.8,BoJack Horseman,BoJack Horseman,2014
"Mayumi Tanaka,Akemi Okamura,Laurent Vernin,Tony Beck,Kazuya Nakai,Kappei Yamaguchi,Hiroaki Hirata,Ikue Ôtani,Colleen Clinkenbeard,Yuriko Yamaguchi,Mahito Ôba,Kazuki Yao,Chikao Ôtsuka,Luci Christian,Christopher Sabat,Sonny Strait,Eric Vale,Chô","Monkey D. Luffy sets off on an adventure with his pirate crew in hopes of finding the greatest treasure ever, known as the ""One Piece.""",24,"Animation,Action,Adventure",Japanese,Japan,TV-14,9.0,One Piece,One Piece,1999
"Larry David,Cheryl Hines,Jeff Garlin,Susie Essman,J.B. Smoove,Richard Lewis,Ted Danson,Bob Einstein,Ashly Holloway,Shelley Berman,Antoinette Spolar,Vivica A. Fox,Ellia English,Vince Vaughn,Carla Jeffery,Nick Nervies,Ann Ryerson,Wanda Sykes",Larry David stars as an over-the-top version of himself in this comedy series that shows how seemingly trivial details of day-to-day life can precipitate a catastrophic chain of events.,28,Comedy,English,United States,TV-MA,8.8,Curb Your Enthusiasm,Curb Your Enthusiasm,2000
"John Cleese,Prunella Scales,Andrew Sachs,Connie Booth,Ballard Berkeley,Gilly Flower,Renee Roberts,Brian Hall,Terence Conoley,Elizabeth Benson,George Lee,Bernard Cribbins,Michael Gwynn,André Maranne,Geoffrey Palmer,Nicky Henson,Bruce Boa,Joan Sanderson","Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away.",30,Comedy,English,United Kingdom,TV-PG,8.8,Fawlty Towers,Fawlty Towers,1975
"Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann,Hubertus Bengsch,Martin Semmelrogge,Bernd Tauber,Erwin Leder,Martin May,Heinz Hoenig,Uwe Ochsenknecht,Claude-Oliver Rudolph,Jan Fedder,Ralf Richter,Joachim Bernhard,Oliver Stritzel,Konrad Becker,Lutz Schnell,Martin Hemme",A World War II German U-Boat crew have a terrifying patrol mission in the early days of the war.,293,"Drama,War",German,West Germany,TV-MA,8.8,Das Boot,Das Boot,1985
"Martin Sheen,Rob Lowe,Allison Janney,John Spencer,Bradley Whitford,Janel Moloney,Richard Schiff,Dulé Hill,NiCole Robinson,Melissa Fitzgerald,Joshua Malina,Stockard Channing,Kim Webster,Kris Murphy,Timothy Davis-Reed,Mary McCormack,William Duffy,Peter James Smith",Inside the lives of staffers in the West Wing of the White House.,44,Drama,English,United States,TV-14,8.9,The West Wing,The West Wing,1999
"Graham Chapman,John Cleese,Terry Gilliam,Eric Idle,Terry Jones,Michael Palin,Carol Cleveland,John Hughman,Monty Python,Ian Davidson,The Fred Tomlinson Singers,Frank Lester,Bob Raymond,Connie Booth,Lyn Ashley,Rita Davies,Maureen Flanagan,Peter Brett",The original surreal sketch comedy showcase for the Monty Python troupe.,30,Comedy,English,United Kingdom,TV-14,8.8,Monty Python's Flying Circus,Monty Python's Flying Circus,1969
"Charlie Day,Glenn Howerton,Rob McElhenney,Kaitlin Olson,Danny DeVito,Mary Elizabeth Ellis,David Hornsby,Artemis Pebdani,Lynne Marie Stewart,Sandy Martin,David Zdunich,Lance Barber,Andrew Friedman,Gregory Scott Cummins,Jimmi Simpson,Nate Mooney,Michael Naughton,Catherine Reitman",Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,22,Comedy,English,United States,TV-MA,8.8,It's Always Sunny in Philadelphia,It's Always Sunny in Philadelphia,2005
"Feyyaz Yigit,Kivanç Kilinç,Ahmet Kürsat Öçalan,Ezgi Ay,Ümran Sakir,Celal Öztürk,Can Sertaç Adalier,Burcu Oktav,Özer Arslan,Süleyman Kabaali,Eray Sel,Ozan Elatunterin,Arda Berç Dalici,Burak Gunes,Kerem Akti,Ferda Isil,Rasim Can Günes,Mustafa Erkan",Yilmaz and Ilkkan are two friends who are constantly fighting each other. Their greatest feature is always being able to do something that will turn their ordinary lives upside down.,30,Comedy,Turkish,Turkey,,9.0,As If,As If,2021
"Nicholas Braun,Brian Cox,Kieran Culkin,Peter Friedman,Matthew Macfadyen,Alan Ruck,Sarah Snook,Jeremy Strong,J. Smith-Cameron,Scott Nicholson,Dagmara Dominczyk,Justine Lupe,David Rasche,Hiam Abbass,Arian Moayed,Juliana Canfield,Fisher Stevens,Rob Yang","The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.",0,"Comedy,Drama",English,United States,TV-MA,8.8,Succession,Succession,2018
"Jennifer Aniston,Courteney Cox,Lisa Kudrow,Matt LeBlanc,Matthew Perry,David Schwimmer,James Michael Tyler,Elliott Gould,Christina Pickles,Maggie Wheeler,Paul Rudd,Jane Sibbett,Helen Baxendale,Jessica Hecht,June Gable,Tom Selleck,Giovanni Ribisi,Aisha Tyler",Follows the personal and professional lives of six twenty to thirty year-old friends living in the Manhattan borough of New York City.,0,"Comedy,Romance",English,United States,TV-14,8.9,Friends,Friends,1994
